product_name,product_version,oem_name,severity_level,vulnerability_description,mitigation_strategy,published_date,cve_id,url
.NET Framework,Multiple,Microsoft,Critical,"Microsoft .NET Framework contains an information disclosure vulnerability that exposes the ObjRef URI to an attacker, ultimately enabling remote code execution.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-02-04,CVE-2024-29059,https://nvd.nist.gov/vuln/detail/CVE-2024-29059
OFBiz,Multiple,Apache,Critical,Apache OFBiz contains a forced browsing vulnerability that allows a remote attacker to obtain unauthorized access.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-02-04,CVE-2024-45195,https://nvd.nist.gov/vuln/detail/CVE-2024-45195
Multiple Products,Multiple,Apple,Critical,"Apple iOS, macOS, and other Apple products contain a user-after-free vulnerability that could allow a malicious application to elevate privileges.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-29,CVE-2025-24085,https://nvd.nist.gov/vuln/detail/CVE-2025-24085
SMA1000 Appliances,Multiple,SonicWall,Critical,"SonicWall SMA1000 Appliance Management Console (AMC) and Central Management Console (CMC) contain a deserialization of untrusted data vulnerability, which can enable a remote, unauthenticated attacker to execute arbitrary OS commands.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-24,CVE-2025-23006,https://nvd.nist.gov/vuln/detail/CVE-2025-23006
JQuery,Multiple,JQuery,Critical,"JQuery contains a persistent cross-site scripting (XSS) vulnerability. When passing maliciously formed, untrusted input enclosed in HTML tags, JQuery's DOM manipulators can execute untrusted code in the context of the user's browser.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-23,CVE-2020-11023,https://nvd.nist.gov/vuln/detail/CVE-2020-11023
Controllers,Multiple,Aviatrix,Critical,"Aviatrix Controllers contain an OS command injection vulnerability that could allow an unauthenticated attacker to execute arbitrary code. Shell metacharacters can be sent to /v1/api in cloud_type for list_flightpath_destination_instances, or src_cloud_type for flightpath_connection_test.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-16,CVE-2024-50603,https://nvd.nist.gov/vuln/detail/CVE-2024-50603
Windows,Multiple,Microsoft,Critical,Microsoft Windows Hyper-V NT Kernel Integration VSP contains a use-after-free vulnerability that allows a local attacker to gain SYSTEM privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-14,CVE-2025-21335,https://nvd.nist.gov/vuln/detail/CVE-2025-21335
Windows,Multiple,Microsoft,Critical,Microsoft Windows Hyper-V NT Kernel Integration VSP contains a use-after-free vulnerability that allows a local attacker to gain SYSTEM privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-14,CVE-2025-21334,https://nvd.nist.gov/vuln/detail/CVE-2025-21334
Windows,Multiple,Microsoft,Critical,Microsoft Windows Hyper-V NT Kernel Integration VSP contains a heap-based buffer overflow vulnerability that allows a local attacker to gain SYSTEM privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-14,CVE-2025-21333,https://nvd.nist.gov/vuln/detail/CVE-2025-21333
FortiOS and FortiProxy,Multiple,Fortinet,Critical,"Fortinet FortiOS and FortiProxy contain an authentication bypass vulnerability that may allow an unauthenticated, remote attacker to gain super-admin privileges via crafted requests to Node.js websocket module.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-14,CVE-2024-55591,https://nvd.nist.gov/vuln/detail/CVE-2024-55591
Sense,Multiple,Qlik,Critical,Qlik Sense contains an HTTP tunneling vulnerability that allows an attacker to escalate privileges and execute HTTP requests on the backend server hosting the software.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-13,CVE-2023-48365,https://nvd.nist.gov/vuln/detail/CVE-2023-48365
Privileged Remote Access (PRA) and Remote Support (RS),Multiple,BeyondTrust,Critical,BeyondTrust Privileged Remote Access (PRA) and Remote Support (RS) contain an OS command injection vulnerability that can be exploited by an attacker with existing administrative privileges to upload a malicious file. Successful exploitation of this vulnerability can allow a remote attacker to execute underlying operating system commands within the context of the site user.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-13,CVE-2024-12686,https://nvd.nist.gov/vuln/detail/CVE-2024-12686
"Connect Secure, Policy Secure, and ZTA Gateways",Multiple,Ivanti,Critical,"Ivanti Connect Secure, Policy Secure, and ZTA Gateways contain a stack-based buffer overflow which can lead to unauthenticated remote code execution.","Apply mitigations as set forth in the CISA instructions linked below to include conducting hunt activities, taking remediation actions if applicable, and applying updates prior to returning a device to service.",2025-01-08,CVE-2025-0282,https://nvd.nist.gov/vuln/detail/CVE-2025-0282
WebLogic Server,Multiple,Oracle,Critical,"Oracle WebLogic Server, a product within the Fusion Middleware suite, contains an unspecified vulnerability exploitable by an unauthenticated attacker with network access via IIOP or T3.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-07,CVE-2020-2883,https://nvd.nist.gov/vuln/detail/CVE-2020-2883
MiCollab,Multiple,Mitel,Critical,"Mitel MiCollab contains a path traversal vulnerability that could allow an authenticated attacker with administrative privileges to read local files within the system due to insufficient input sanitization. This vulnerability can be chained with CVE-2024-41713, which allows an unauthenticated, remote attacker to read arbitrary files on the server.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-07,CVE-2024-55550,https://nvd.nist.gov/vuln/detail/CVE-2024-55550
MiCollab,Multiple,Mitel,Critical,"Mitel MiCollab contains a path traversal vulnerability that could allow an attacker to gain unauthorized and unauthenticated access. This vulnerability can be chained with CVE-2024-55550, which allows an unauthenticated, remote attacker to read arbitrary files on the server.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-07,CVE-2024-41713,https://nvd.nist.gov/vuln/detail/CVE-2024-41713
PAN-OS,Multiple,Palo Alto Networks,Critical,"Palo Alto Networks PAN-OS contains a vulnerability in parsing and logging malicious DNS packets in the DNS Security feature that, when exploited, allows an unauthenticated attacker to remotely reboot the firewall. Repeated attempts to trigger this condition will cause the firewall to enter maintenance mode.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-30,CVE-2024-3393,https://nvd.nist.gov/vuln/detail/CVE-2024-3393
USAHERDS,Multiple,Acclaim Systems,Critical,Acclaim Systems USAHERDS contains a hard-coded credentials vulnerability that could allow an attacker to achieve remote code execution on the system that runs the application. The MachineKey must be obtained via a separate vulnerability or other channel.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. Please contact the product developer for support and vulnerability mitigation.,2024-12-23,CVE-2021-44207,https://nvd.nist.gov/vuln/detail/CVE-2021-44207
Privileged Remote Access (PRA) and Remote Support (RS) ,Multiple,BeyondTrust,Critical,"BeyondTrust Privileged Remote Access (PRA) and Remote Support (RS) contain a command injection vulnerability, which can allow an unauthenticated attacker to inject commands that are run as a site user. ",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-19,CVE-2024-12356,https://nvd.nist.gov/vuln/detail/CVE-2024-12356
RLC-410W IP Camera,Multiple,Reolink,Critical,Reolink RLC-410W IP cameras contain an authenticated OS command injection vulnerability in the device network settings functionality.,The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization if a current mitigation is unavailable.,2024-12-18,CVE-2021-40407,https://nvd.nist.gov/vuln/detail/CVE-2021-40407
Multiple IP Cameras,Multiple,Reolink,Critical,"Reolink RLC-410W, C1 Pro, C2 Pro, RLC-422W, and RLC-511W IP cameras contain an authenticated OS command injection vulnerability. This vulnerability allows an authenticated admin to use the ""TestEmail"" functionality to inject and run OS commands as root.",The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization if a current mitigation is unavailable.,2024-12-18,CVE-2019-11001,https://nvd.nist.gov/vuln/detail/CVE-2019-11001
NVRmini2 Devices,Multiple,NUUO,Critical,"NUUO NVRmini2 devices contain a missing authentication vulnerability that allows an unauthenticated attacker to upload an encrypted TAR archive, which can be abused to add arbitrary users. ",The impacted product is end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue utilization of the product.,2024-12-18,CVE-2022-23227,https://nvd.nist.gov/vuln/detail/CVE-2022-23227
NVRmini Devices,Multiple,NUUO,Critical,NUUO NVRmini devices contain an OS command injection vulnerability. This vulnerability allows remote command execution via shell metacharacters in the uploaddir parameter for a writeuploaddir command.,The impacted product is end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue utilization of the product.,2024-12-18,CVE-2018-14933,https://nvd.nist.gov/vuln/detail/CVE-2018-14933
Multiple Products,Multiple,Cleo,Critical,"Cleo Harmony, VLTrader, and LexiCom, which are managed file transfer products, contain an unrestricted file upload vulnerability that could allow an unauthenticated user to import and execute arbitrary bash or PowerShell commands on the host system by leveraging the default settings of the Autorun directory.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-17,CVE-2024-55956,https://nvd.nist.gov/vuln/detail/CVE-2024-55956
Windows,Multiple,Microsoft,Critical,Microsoft Windows Kernel-Mode Driver contains an untrusted pointer dereference vulnerability that allows a local attacker to escalate privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-16,CVE-2024-35250,https://nvd.nist.gov/vuln/detail/CVE-2024-35250
ColdFusion,Multiple,Adobe,Critical,Adobe ColdFusion contains an improper access control vulnerability that could allow an attacker to access or modify restricted files via an internet-exposed admin panel.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-16,CVE-2024-20767,https://nvd.nist.gov/vuln/detail/CVE-2024-20767
Multiple Products,Multiple,Cleo,Critical,"Cleo Harmony, VLTrader, and LexiCom, which are managed file transfer products, contain an unrestricted file upload and download vulnerability that can lead to remote code execution with elevated privileges.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-13,CVE-2024-50623,https://nvd.nist.gov/vuln/detail/CVE-2024-50623
Windows,Multiple,Microsoft,Critical,Microsoft Windows Common Log File System (CLFS) driver contains a heap-based buffer overflow vulnerability that allows a local attacker to escalate privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-10,CVE-2024-49138,https://nvd.nist.gov/vuln/detail/CVE-2024-49138
CyberPanel,Multiple,CyberPersons,Critical,CyberPanel contains an incorrect default permissions vulnerability that allows for authentication bypass and the execution of arbitrary commands using shell metacharacters in the statusfile property.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-04,CVE-2024-51378,https://nvd.nist.gov/vuln/detail/CVE-2024-51378
Multiple Firewalls,Multiple,Zyxel,Critical,Multiple Zyxel firewalls contain a path traversal vulnerability in the web management interface that could allow an attacker to download or upload files via a crafted URL.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-03,CVE-2024-11667,https://nvd.nist.gov/vuln/detail/CVE-2024-11667
ProjectSend,Multiple,ProjectSend,Critical,"ProjectSend contains an improper authentication vulnerability that allows a remote, unauthenticated attacker to enable unauthorized modification of the application's configuration via crafted HTTP requests to options.php. Successful exploitation allows attackers to create accounts, upload webshells, and embed malicious JavaScript.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-03,CVE-2024-11680,https://nvd.nist.gov/vuln/detail/CVE-2024-11680
Proself,Multiple,North Grid,Critical,"North Grid Proself Enterprise/Standard, Gateway, and Mail Sanitize contain an improper restriction of XML External Entity (XXE) reference vulnerability, which could allow a remote, unauthenticated attacker to conduct an XXE attack.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-03,CVE-2023-45727,https://nvd.nist.gov/vuln/detail/CVE-2023-45727
AG/vxAG ArrayOS,Multiple,Array Networks ,Critical,Array Networks AG and vxAG ArrayOS contain a missing authentication for critical function vulnerability that allows an attacker to read local files and execute code on the SSL VPN gateway.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-25,CVE-2023-28461,https://nvd.nist.gov/vuln/detail/CVE-2023-28461
Agile Product Lifecycle Management (PLM),Multiple,Oracle,Critical,Oracle Agile Product Lifecycle Management (PLM) contains an incorrect authorization vulnerability in the Process Extension component of the Software Development Kit. Successful exploitation of this vulnerability may result in unauthenticated file disclosure.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-21,CVE-2024-21287,https://nvd.nist.gov/vuln/detail/CVE-2024-21287
Multiple Products,Multiple,Apple,Critical,"Apple iOS, macOS, and other Apple products contain an unspecified vulnerability when processing maliciously crafted web content that may lead to a cross-site scripting (XSS) attack.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-21,CVE-2024-44309,https://nvd.nist.gov/vuln/detail/CVE-2024-44309
Multiple Products,Multiple,Apple,Critical,"Apple iOS, macOS, and other Apple products contain an unspecified vulnerability when processing maliciously crafted web content that may lead to arbitrary code execution.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-21,CVE-2024-44308,https://nvd.nist.gov/vuln/detail/CVE-2024-44308
vCenter Server,Multiple,VMware,Critical,VMware vCenter contains an improper check for dropped privileges vulnerability. This vulnerability could allow an attacker with network access to the vCenter Server to escalate privileges to root by sending a specially crafted packet.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-20,CVE-2024-38813,https://nvd.nist.gov/vuln/detail/CVE-2024-38813
vCenter Server,Multiple,VMware,Critical,VMware vCenter Server contains a heap-based buffer overflow vulnerability in the implementation of the DCERPC protocol. This vulnerability could allow an attacker with network access to the vCenter Server to execute remote code by sending a specially crafted packet.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-20,CVE-2024-38812,https://nvd.nist.gov/vuln/detail/CVE-2024-38812
PAN-OS,Multiple,Palo Alto Networks,Critical,"Palo Alto Networks PAN-OS contains an OS command injection vulnerability that allows for privilege escalation through the web-based management interface for several PAN products, including firewalls and VPN concentrators.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. Additionally, the management interfaces for affected devices should not be exposed to untrusted networks, including the internet.",2024-11-18,CVE-2024-9474,https://nvd.nist.gov/vuln/detail/CVE-2024-9474
PAN-OS,Multiple,Palo Alto Networks,Critical,"Palo Alto Networks PAN-OS contains an authentication bypass vulnerability in the web-based management interface for several PAN-OS products, including firewalls and VPN concentrators.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. Additionally, management interface for affected devices should not be exposed to untrusted networks, including the internet.",2024-11-18,CVE-2024-0012,https://nvd.nist.gov/vuln/detail/CVE-2024-0012
Kemp LoadMaster,Multiple,Progress,Critical,"Progress Kemp LoadMaster contains an OS command injection vulnerability that allows an unauthenticated, remote attacker to access the system through the LoadMaster management interface, enabling arbitrary system command execution.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-18,CVE-2024-1212,https://nvd.nist.gov/vuln/detail/CVE-2024-1212
Expedition,Multiple,Palo Alto Networks,Critical,"Palo Alto Networks Expedition contains a SQL injection vulnerability that allows an unauthenticated attacker to reveal Expedition database contents, such as password hashes, usernames, device configurations, and device API keys. With this, attackers can also create and read arbitrary files on the Expedition system.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-14,CVE-2024-9465,https://nvd.nist.gov/vuln/detail/CVE-2024-9465
Expedition,Multiple,Palo Alto Networks,Critical,"Palo Alto Networks Expedition contains an OS command injection vulnerability that allows an unauthenticated attacker to run arbitrary OS commands as root in Expedition, resulting in disclosure of usernames, cleartext passwords, device configurations, and device API keys of PAN-OS firewalls.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-14,CVE-2024-9463,https://nvd.nist.gov/vuln/detail/CVE-2024-9463
Jira Server and Data Center,Multiple,Atlassian,Critical,Atlassian Jira Server and Data Center contain a path traversal vulnerability that allows a remote attacker to read particular files in the /WEB-INF/web.xml endpoint.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-12,CVE-2021-26086,https://nvd.nist.gov/vuln/detail/CVE-2021-26086
Adaptive Security Appliance (ASA),Multiple,Cisco,Critical,Cisco Adaptive Security Appliance (ASA) contains a cross-site scripting (XSS) vulnerability in the WebVPN login page. This vulnerability allows remote attackers to inject arbitrary web script or HTML via an unspecified parameter.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-12,CVE-2014-2120,https://nvd.nist.gov/vuln/detail/CVE-2014-2120
Metabase,Multiple,Metabase,Critical,Metabase contains a local file inclusion vulnerability in the custom map support in the API to read GeoJSON formatted data.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-12,CVE-2021-41277,https://nvd.nist.gov/vuln/detail/CVE-2021-41277
Windows,Multiple,Microsoft,Critical,Microsoft Windows contains an NTLMv2 hash spoofing vulnerability that could result in disclosing a user's NTLMv2 hash to an attacker via a file open operation. The attacker could then leverage this hash to impersonate that user.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-12,CVE-2024-43451,https://nvd.nist.gov/vuln/detail/CVE-2024-43451
Windows,Multiple,Microsoft,Critical,"Microsoft Windows Task Scheduler contains a privilege escalation vulnerability that can allow an attacker-provided, local application to escalate privileges outside of its AppContainer, and access privileged RPC functions.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-12,CVE-2024-49039,https://nvd.nist.gov/vuln/detail/CVE-2024-49039
nhttpd,Multiple,Nostromo,Critical,Nostromo nhttpd contains a directory traversal vulnerability in the http_verify() function in a non-chrooted nhttpd server allowing for remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-07,CVE-2019-16278,https://nvd.nist.gov/vuln/detail/CVE-2019-16278
CyberPanel,Multiple,CyberPersons,Critical,"CyberPanel contains an incorrect default permissions vulnerability that allows a remote, unauthenticated attacker to execute commands as root.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-07,CVE-2024-51567,https://nvd.nist.gov/vuln/detail/CVE-2024-51567
Framework,Multiple,Android,Critical,Android Framework contains an unspecified vulnerability that allows for privilege escalation.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-07,CVE-2024-43093,https://nvd.nist.gov/vuln/detail/CVE-2024-43093
Expedition,Multiple,Palo Alto Networks,Critical,"Palo Alto Networks Expedition contains a missing authentication vulnerability that allows an attacker with network access to takeover an Expedition admin account and potentially access configuration secrets, credentials, and other data.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-07,CVE-2024-5910,https://nvd.nist.gov/vuln/detail/CVE-2024-5910
PT30X-SDI/NDI Cameras,Multiple,PTZOptics,Critical,"PTZOptics PT30X-SDI/NDI cameras contain an insecure direct object reference (IDOR) vulnerability that allows a remote, attacker to bypass authentication for the /cgi-bin/param.cgi CGI script. If combined with CVE-2024-8957, this can lead to remote code execution as root.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-04,CVE-2024-8956,https://nvd.nist.gov/vuln/detail/CVE-2024-8956
PT30X-SDI/NDI Cameras,Multiple,PTZOptics,Critical,"PTZOptics PT30X-SDI/NDI cameras contain an OS command injection vulnerability that allows a remote, authenticated attacker to escalate privileges to root via a crafted payload with the ntp_addr parameter of the /cgi-bin/param.cgi CGI script. ",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-04,CVE-2024-8957,https://nvd.nist.gov/vuln/detail/CVE-2024-8957
Webmail,Multiple,Roundcube,Critical,RoundCube Webmail contains a cross-site scripting (XSS) vulnerability in the handling of SVG animate attributes that allows a remote attacker to run malicious JavaScript code.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-24,CVE-2024-37383,https://nvd.nist.gov/vuln/detail/CVE-2024-37383
Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Multiple,Cisco,Critical,"Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain a missing release of resource after effective lifetime vulnerability that could allow an unauthenticated, remote attacker to cause a denial-of-service (DoS) of the RAVPN service.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-24,CVE-2024-20481,https://nvd.nist.gov/vuln/detail/CVE-2024-20481
FortiManager,Multiple,Fortinet,Critical,"Fortinet FortiManager contains a missing authentication vulnerability in the fgfmd daemon that allows a remote, unauthenticated attacker to execute arbitrary code or commands via specially crafted requests.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-23,CVE-2024-47575,https://nvd.nist.gov/vuln/detail/CVE-2024-47575
SharePoint,Multiple,Microsoft,Critical,Microsoft SharePoint contains a deserialization vulnerability that allows for remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-22,CVE-2024-38094,https://nvd.nist.gov/vuln/detail/CVE-2024-38094
SL1,Multiple,ScienceLogic,Critical,ScienceLogic SL1 (formerly EM7) is affected by an unspecified vulnerability involving an unspecified third-party component.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-21,CVE-2024-9537,https://nvd.nist.gov/vuln/detail/CVE-2024-9537
Backup & Replication,Multiple,Veeam,Critical,Veeam Backup and Replication contains a deserialization vulnerability allowing an unauthenticated user to perform remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-17,CVE-2024-40711,https://nvd.nist.gov/vuln/detail/CVE-2024-40711
Web Help Desk,Multiple,SolarWinds,Critical,"SolarWinds Web Help Desk contains a hardcoded credential vulnerability that could allow a remote, unauthenticated user to access internal functionality and modify data.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-15,CVE-2024-28987,https://nvd.nist.gov/vuln/detail/CVE-2024-28987
Firefox,Multiple,Mozilla,Critical,Mozilla Firefox and Firefox ESR contain a use-after-free vulnerability in Animation timelines that allows for code execution in the content process.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-15,CVE-2024-9680,https://nvd.nist.gov/vuln/detail/CVE-2024-9680
Windows ,Multiple,Microsoft,Critical,Microsoft Windows Kernel contains a time-of-check to time-of-use (TOCTOU) race condition vulnerability that could allow for privilege escalation. ,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-15,CVE-2024-30088,https://nvd.nist.gov/vuln/detail/CVE-2024-30088
Cloud Services Appliance (CSA),Multiple,Ivanti,Critical,Ivanti Cloud Services Appliance (CSA) contains an OS command injection vulnerability in the administrative console which can allow an authenticated attacker with application admin privileges to pass commands to the underlying OS.,"As Ivanti CSA 4.6.x has reached End-of-Life status, users are urged to remove CSA 4.6.x from service or upgrade to the 5.0.x line, or later, of supported solution.",2024-10-09,CVE-2024-9380,https://nvd.nist.gov/vuln/detail/CVE-2024-9380
Cloud Services Appliance (CSA),Multiple,Ivanti,Critical,"Ivanti Cloud Services Appliance (CSA) contains a SQL injection vulnerability in the admin web console in versions prior to 5.0.2, which can allow a remote attacker authenticated as administrator to run arbitrary SQL statements.","As Ivanti CSA 4.6.x has reached End-of-Life status, users are urged to remove CSA 4.6.x from service or upgrade to the 5.0.x line, or later, of supported solution.",2024-10-09,CVE-2024-9379,https://nvd.nist.gov/vuln/detail/CVE-2024-9379
Multiple Products,Multiple,Fortinet,Critical,"Fortinet FortiOS, FortiPAM, FortiProxy, and FortiWeb contain a format string vulnerability that allows a remote, unauthenticated attacker to execute arbitrary code or commands via specially crafted requests.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-09,CVE-2024-23113,https://nvd.nist.gov/vuln/detail/CVE-2024-23113
Windows,Multiple,Microsoft,Critical,Microsoft Windows MSHTML Platform contains an unspecified spoofing vulnerability which can lead to a loss of confidentiality.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-08,CVE-2024-43573,https://nvd.nist.gov/vuln/detail/CVE-2024-43573
Windows,Multiple,Microsoft,Critical,Microsoft Windows Management Console contains unspecified vulnerability that allows for remote code execution.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-08,CVE-2024-43572,https://nvd.nist.gov/vuln/detail/CVE-2024-43572
Multiple Chipsets ,Multiple,Qualcomm,Critical,Multiple Qualcomm chipsets contain a use-after-free vulnerability due to memory corruption in DSP Services while maintaining memory maps of HLOS memory. ,Apply remediations or mitigations per vendor instructions or discontinue use of the product if remediation or mitigations are unavailable.,2024-10-08,CVE-2024-43047,https://nvd.nist.gov/vuln/detail/CVE-2024-43047
Zimbra Collaboration Suite (ZCS),Multiple,Synacor,Critical,Synacor Zimbra Collaboration Suite (ZCS) contains an unspecified vulnerability in the postjournal service that may allow an unauthenticated user to execute commands.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-03,CVE-2024-45519,https://nvd.nist.gov/vuln/detail/CVE-2024-45519
Endpoint Manager (EPM),Multiple,Ivanti,Critical,Ivanti Endpoint Manager (EPM) contains a SQL injection vulnerability in Core server that allows an unauthenticated attacker within the same network to execute arbitrary code. ,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-02,CVE-2024-29824,https://nvd.nist.gov/vuln/detail/CVE-2024-29824
Commerce Cloud,Multiple,SAP,Critical,SAP Commerce Cloud (formerly known as Hybris) contains a deserialization of untrusted data vulnerability within the mediaconversion and virtualjdbc extension that allows for code injection.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-30,CVE-2019-0344,https://nvd.nist.gov/vuln/detail/CVE-2019-0344
Multiple Vigor Routers,Multiple,DrayTek,Critical,"DrayTek Vigor3900, Vigor2960, and Vigor300B devices contain an OS command injection vulnerability in cgi-bin/mainfunction.cgi/cvmcfgupload that allows for remote code execution via shell metacharacters in a filename when the text/x-python-script content type is used.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-30,CVE-2020-15415,https://nvd.nist.gov/vuln/detail/CVE-2020-15415
DIR-820 Router,Multiple,D-Link,Critical,"D-Link DIR-820 routers contain an OS command injection vulnerability that allows a remote, unauthenticated attacker to escalate privileges to root via a crafted payload with the ping_addr parameter to ping.ccp.",The impacted product is end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue utilization of the product.,2024-09-30,CVE-2023-25280,https://nvd.nist.gov/vuln/detail/CVE-2023-25280
Virtual Traffic Manager,Multiple,Ivanti,Critical,"Ivanti Virtual Traffic Manager contains an authentication bypass vulnerability that allows a remote, unauthenticated attacker to create a chosen administrator account.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-24,CVE-2024-7593,https://nvd.nist.gov/vuln/detail/CVE-2024-7593
Cloud Services Appliance (CSA),Multiple,Ivanti,Critical,"Ivanti Cloud Services Appliance (CSA) contains a path traversal vulnerability that could allow a remote, unauthenticated attacker to access restricted functionality. If CVE-2024-8963 is used in conjunction with CVE-2024-8190, an attacker could bypass admin authentication and execute arbitrary commands on the appliance.","As Ivanti CSA has reached End-of-Life status, users are urged to remove CSA 4.6.x from service or upgrade to the 5.0.x line of supported solutions, as future vulnerabilities on the 4.6.x version of CSA are unlikely to receive security updates.",2024-09-19,CVE-2024-8963,https://nvd.nist.gov/vuln/detail/CVE-2024-8963
WebLogic Server,Multiple,Oracle,Critical,"Oracle WebLogic Server, a product within the Fusion Middleware suite, contains a deserialization vulnerability. Unauthenticated attackers with network access via T3 or IIOP can exploit this vulnerability to achieve remote code execution.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-18,CVE-2020-14644,https://nvd.nist.gov/vuln/detail/CVE-2020-14644
